GoodsID,GoodsTitle,Category,SubCategory,PriceCNY,RetailPriceUSD,DeliveryTimeDays,WeightKg,StockCount,FactoryName,Certifications,SkuCount,CoverImageUrl,CreatedAt
82,"1PC 8骨 可折叠自动伞晴雨伞（内印）","晴雨伞","",0,0,"24-48小时",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/08/07/fe641f07-1d2d-440f-a9ed-2749abb23c79.png",""
81,"1PC  8骨  可折叠自动伞晴雨伞","晴雨伞","",0,0,"24-48小时",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/08/07/ea143124-e293-43c0-9a7b-832e95825f6d.png",""
80,"1PC  装饰 木框画","木框画","",0,0,"1",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/08/05/ba9a21f6-442b-48d7-8510-afcd9961128e.png",""
79,"1PC 木制 火柴盒","火柴盒","",0,0,"1",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/08/04/74fb3c45-39fa-4d64-9a5d-1f03e94051f1.png",""
78,"1PC 金属  平顶打火机壳","打火机壳","",0,0,"1",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/08/04/0c593692-600a-418a-ad4d-ac957a9dc451.png",""
77,"1PC  ABS 狗狗牵引绳（可伸缩长度3M）","牵引绳","",0,0,"1",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/08/03/d2104ccb-828d-43fb-be5d-9b9fcb6e61f0.png",""
76,"1PC  金属  长方形烟灰缸","车载烟灰缸","",0,0,"1",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/07/31/3a86e5ce-deb4-4e46-9467-38464e7e5533.jpg",""
75,"1PC  木制  迷你椭圆黑框画","照片摆台","",0,0,"1",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/07/31/29b17e48-ec0f-4382-92c8-6012b436e98e.png",""
74,"1PC 金属 马口铁盒","桌面收纳盒","",0,0,"1",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/07/30/b2be4c26-4753-43de-a62d-c0f5d1981455.png",""
73,"1PC  塑料  定制烟盒","定制烟盒","",0,0,"1",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/07/30/c3eb1276-b9ed-4c56-a666-3b31699af3bb.png",""
72,"2PCS  木制  DIY圆形编织木板","DIY编织木板","",0,0,"1",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/07/30/c09140d8-2dbb-4086-a4bb-c63ba965713e.png",""
71,"2PCS  木制 DIY椭圆编织木板","DIY编织木板","",0,0,"1",0,0,"源头工厂认证","",0,"https://taojin-prod-public-assets.oss-cn-hangzhou.aliyuncs.com/v2/product/goods-image/2026/07/30/a329a80d-b3ae-4f2a-b76d-7766eb64325c.png",""
