date,makeup bag,cosmetic bag
2025-09-21,14,4
2025-09-28,14,4
2025-10-05,14,4
2025-10-12,15,4
2025-10-19,16,4
2025-10-26,17,5
2025-11-02,24,6
2025-11-09,29,6
2025-11-16,37,6
2025-11-23,42,9
2025-11-30,37,8
2025-12-07,36,8
2025-12-14,33,8
2025-12-21,35,8
2025-12-28,30,8
2026-01-04,22,5
2026-01-11,20,6
2026-01-18,18,5
2026-01-25,18,5
2026-02-01,19,6
2026-02-08,29,17
2026-02-15,32,16
2026-02-22,25,13
2026-03-01,18,5
2026-03-08,18,6
2026-03-15,21,6
2026-03-22,36,9
2026-03-29,68,17
2026-04-05,91,21
2026-04-12,100,23
2026-04-19,79,18
2026-04-26,56,14
2026-05-03,62,15
2026-05-10,74,16
2026-05-17,49,13
2026-05-24,34,9
2026-05-31,35,9
2026-06-07,41,11
2026-06-14,35,9
2026-06-21,36,10
2026-06-28,24,6
2026-07-05,23,6
2026-07-12,22,5
2026-07-19,20,5
2026-07-26,20,5
2026-08-02,20,5
2026-08-09,21,6
2026-08-16,19,5
2026-08-23,18,5
2026-08-30,18,5
2026-09-06,18,4
2026-09-13,16,4
2026-09-20,14,4
